STORE_ID,STORE_NAME,STORE_CODE,ADDRESS,CITY,PROVINCE,POSTAL_CODE,PHONE,EMAIL,MANAGER_ID,STORE_TYPE,IS_ACTIVE,OPENING_DATE
1,Prime Store 1,ST001,984 Main Road,Mirpur Khas,Sindh,77239,+92-301-1489590,info@primestore1.com,,Supermarket,True,2017-08-21
2,Mega Center 2,ST002,528 Market Street,Turbat,Balochistan,55383,+92-314-8464878,info@megacenter2.com,268.0,Mall,True,2021-04-03
3,Mega Plaza 3,ST003,903 Commercial Area,Nowshera,Khyber Pakhtunkhwa,32285,+92-314-4015774,info@megaplaza3.com,,Specialty Store,True,2020-08-11
4,Elite Mall 4,ST004,983 Market Street,Jacobabad,Sindh,36962,+92-306-6051536,info@elitemall4.com,,Department Store,True,2023-05-24
5,Premium Mart 5,ST005,935 Shopping District,Chaman,Balochistan,75881,+92-329-1882290,info@premiummart5.com,,Outlet,False,2022-10-07
6,Prime Store 6,ST006,312 Shopping District,Larkana,Sindh,45498,+92-342-5102875,info@primestore6.com,,Retail,True,2020-11-09
7,Super Mall 7,ST007,284 Commercial Area,Gujranwala,Punjab,37434,+92-321-8332270,info@supermall7.com,,Retail,True,2022-07-16
8,Super Center 8,ST008,535 Commercial Area,Chilas,Gilgit-Baltistan,57029,+92-315-5770784,info@supercenter8.com,,Outlet,False,2016-06-15
9,Elite Mall 9,ST009,831 Shopping District,Kotli,Azad Kashmir,93362,+92-325-4156865,info@elitemall9.com,138.0,Specialty Store,True,2022-08-28
10,Express Center 10,ST010,58 Shopping District,Kotli,Azad Kashmir,72926,+92-340-9347116,info@expresscenter10.com,225.0,Department Store,False,2020-01-10
11,Super Center 11,ST011,846 Commercial Area,Mansehra,Khyber Pakhtunkhwa,22065,+92-307-2837275,info@supercenter11.com,168.0,Retail,True,2017-05-28
12,Mega Store 12,ST012,322 Main Road,Skardu,Gilgit-Baltistan,71710,+92-348-4122715,info@megastore12.com,,Specialty Store,False,2018-04-03
13,Prime Mart 13,ST013,502 Main Road,Khuzdar,Balochistan,72546,+92-343-9917817,info@primemart13.com,,Retail,False,2025-01-30
14,Express Plaza 14,ST014,281 Shopping District,Chaman,Balochistan,48683,+92-344-7457764,info@expressplaza14.com,97.0,Mall,True,2015-09-11
15,Super Mall 15,ST015,962 Market Street,Mirpur,Azad Kashmir,66842,+92-325-3050099,info@supermall15.com,43.0,Mall,True,2023-02-20
16,Elite Store 16,ST016,532 Market Street,Khuzdar,Balochistan,99129,+92-316-1177218,info@elitestore16.com,231.0,Specialty Store,True,2021-09-01
17,Prime Center 17,ST017,513 Commercial Area,Nowshera,Khyber Pakhtunkhwa,18686,+92-300-2871982,info@primecenter17.com,229.0,Specialty Store,True,2025-06-06
18,Premium Center 18,ST018,848 Market Street,Mansehra,Khyber Pakhtunkhwa,88514,+92-301-4556187,info@premiumcenter18.com,,Department Store,True,2021-09-04
19,Elite Mart 19,ST019,74 Shopping District,Nowshera,Khyber Pakhtunkhwa,88213,+92-335-9181930,info@elitemart19.com,,Specialty Store,True,2023-02-13
20,Mega Center 20,ST020,625 Shopping District,Quetta,Balochistan,58042,+92-327-2763615,info@megacenter20.com,,Supermarket,False,2021-01-05
21,Prime Store 21,ST021,983 Market Street,Astore,Gilgit-Baltistan,42429,+92-305-2602004,info@primestore21.com,,Retail,True,2020-06-04
22,Express Mall 22,ST022,565 Market Street,Astore,Gilgit-Baltistan,24921,+92-348-3552673,info@expressmall22.com,222.0,Supermarket,True,2019-03-31
